marca,modelo,precio,año,kilometros,combustible,transmision,potencia,fuente,carroceria
Nissan,NV300,15200,2020.0,180000,Diésel,,115,coches.net,furgoneta
Fiat,Scudo,21400,2018.0,154100,DIESEL,DSG,115,coches.net,furgoneta
Fiat,Scudo,19500,2020.0,139600,Gasoil,Automática,145,coches.net,furgoneta
Renault,Trafic,29900,2021.0,85300,gasoil,manual,155,coches.net,furgoneta
Iveco,Daily,,2024.0,20600,Diésel,AT,100,coches.net,furgoneta
Volkswagen,Transporter,15600,2022.0,58900,DIESEL,M6,110,coches.net,furgoneta
Hyundai,Staria,27300,2021.0,,Gasoil,manual,177,coches.net,furgoneta
Mercedes-Benz,Sprinter,35000,2021.0,92000,Electrico,M6,120,coches.net,furgoneta
Volkswagen,Crafter,28200,2022.0,48600,Diésel,M,182,coches.net,furgoneta
Toyota,Proace City,18900,2018.0,185100,Diesel,automático,110,coches.net,furgoneta
Iveco,Daily,27200,2022.0,67800,DIESEL,M,75,coches.net,furgoneta
Volkswagen,Caddy,30900,2020.0,109900,Gasolina,M6,114,coches.net,furgoneta
Fiat,Doblo Cargo,25500,2023.0,36000,Gasoil,M,90,coches.net,furgoneta
Peugeot,Partner,17400,2020.0,122500,Diésel,manual,100,coches.net,furgoneta
Ford,Transit Connect,23200,2020.0,165600,Eléctrico (BEV),manual,125,coches.net,furgoneta
Hyundai,H350,14300,2018.0,220500,diesel,Auto,141,coches.net,furgoneta
Mercedes-Benz,Citan,30400,2024.0,25800,Gasolina,manual,140,coches.net,furgoneta
Opel,Combo,30900,2024.0,23500,Electrico,manual,95,coches.net,furgoneta
Citroën,Berlingo,24300,2024.0,16800,gasolina,M,110,coches.net,furgoneta
Peugeot,Expert,20400 €,2021.0,119200,diesel,MANUAL,,coches.net,furgoneta
Toyota,Proace City,33500,2024.0,22900,diesel,AT,100,coches.net,furgoneta
Iveco,Daily,31600,2024.0,17100,Diésel,Manual,130,coches.net,furgoneta
Opel,Movano,29800,2020.0,163200,Diesel,MANUAL,110,coches.net,furgoneta
Opel,Vivaro,21900,2024.0,28000,DIESEL,M6,95,coches.net,furgoneta
Fiat,Scudo,26700,2022.0,73200,Gasoil,Manual,145,coches.net,furgoneta
Hyundai,H350,,2021.0,67200km,DIESEL,M6,136,coches.net,furgoneta
Peugeot,Partner,29200,2022.0,70000,Eléctrico (BEV),manual,136,coches.net,furgoneta
Opel,Vivaro,13500,2019.0,105300,DIESEL,Manual,180,coches.net,furgoneta
Volkswagen,Transporter,15000,2017.0,193800,gasoil,MANUAL,150,coches.net,furgoneta
Ford,Transit Connect,20200,,,gasoil,,120,coches.net,furgoneta
Renault,Master,22000,2023.0,,diesel,M,150,coches.net,furgoneta
Volkswagen,Transporter,"34500,00",2022.0,68700,gasoil,M6,155,coches.net,furgoneta
Mercedes-Benz,Citan,34700,2021.0,94600,Diesel,automático,75,coches.net,furgoneta
Opel,Vivaro,18800,2023.0,51800,DIESEL,AT,105,coches.net,furgoneta
Iveco,Daily,29200,2024.0,20300,Gasoil,MANUAL,150,coches.net,furgoneta
Toyota,Proace,18600,2018.0,254800,Diésel,manual,,coches.net,furgoneta
Volkswagen,Transporter,29100,2020.0,136100,gasolina,M6,150,coches.net,furgoneta
Mercedes-Benz,Sprinter,27100,2019.0,136700,GASOLINA,M,102,coches.net,furgoneta
Hyundai,H350,22300,2018.0,142500,GLP/Gasolina,Manual,136,coches.net,furgoneta
Volkswagen,Caddy,19600,2017.0,203600km,Gasolina,manual,119,coches.net,furgoneta
Volkswagen,Caddy,19300,2019.0,185100,gasoil,MANUAL,102,coches.net,furgoneta
Peugeot,Partner,9300,2015.0,254100km,gasolina,Manual,105,coches.net,furgoneta
Nissan,NV400,19500,2018.0,236600,gasoil,Manual,145,coches.net,furgoneta
Opel,Combo,29000,2022.0,84700,CNG,M6,110,coches.net,furgoneta
Renault,Trafic,27300,2024.0,25100,gasoil,M,90,coches.net,furgoneta
Citroën,Jumpy,28200,2022.0,73700,Diésel,M,125,coches.net,furgoneta
Volkswagen,Transporter,42800,2024.0,15300,Electrico,DSG,97,coches.net,furgoneta
Fiat,Doblo Cargo,17400,2021.0,101700,Gasoil,MANUAL,105,coches.net,furgoneta
Opel,Combo,22200,2020.0,102500km,diesel,M6,100CV,coches.net,furgoneta
Nissan,NV200,25600,2022.0,61300,diesel,M6,110,coches.net,furgoneta
Volkswagen,Caddy,18500,2017.0,292100,Gasolina,MANUAL,114,coches.net,furgoneta
Ford,Transit Courier,25300,2023.0,48200,gasolina,,75,coches.net,furgoneta
Iveco,Daily,22400,2021.0,139800,gasoil,M,100,coches.net,furgoneta
Peugeot,Partner,30600,2021.0,97400,EV,MANUAL,136,coches.net,furgoneta
Renault,Trafic,9200,2020.0,122200,DIESEL,manual,120,coches.net,furgoneta
Hyundai,H350,27600,2022.0,76900,Diesel,MANUAL,175,coches.net,furgoneta
Renault,Master,7500,2017.0,227300,Diésel,MANUAL,145,coches.net,furgoneta
Fiat,Ducato,27000,2023.0,55100,Diesel,Manual,130,coches.net,furgoneta
Opel,Combo,15700,2019.0,137500,Gasolina,Automático,110,coches.net,furgoneta
Nissan,NV400,19300,2022.0,96100,Electrico,MANUAL,140,coches.net,furgoneta
Peugeot,Boxer,16300,2022.0,70500,DIESEL,MANUAL,135,coches.net,furgoneta
Ford,Transit Courier,23900,2023.0,52800,gasolina,M6,95,coches.net,furgoneta
Opel,Vivaro,24100,2021.0,98600,DIESEL,Manual,125,coches.net,furgoneta
Ford,Transit,28800,2024.0,,Gasoil,manual,135,coches.net,furgoneta
Mercedes-Benz,Sprinter,24400,2023.0,33600 km,GASOLINA,manual,140,coches.net,furgoneta
MAN,TGE,28300,2021.0,,MHEV,MANUAL,140,coches.net,furgoneta
Toyota,Proace,14100,2018.0,169400 km,MHEV,manual,150,coches.net,furgoneta
Mercedes-Benz,Vito,20700,2018.0,196200,Diésel,MANUAL,100,coches.net,furgoneta
Ford,Transit Connect,18000,2019.0,140900,Diésel,M,105,coches.net,furgoneta
Citroën,Jumpy,9600 €,2017.0,244500,diesel,Manual,120,coches.net,furgoneta
Mercedes-Benz,Vito,18300,2022.0,79800,Diesel,manual,102 CV,coches.net,furgoneta
Hyundai,Staria,10700,2017.0,167600,gasolina,MANUAL,182,coches.net,furgoneta
Fiat,Doblo Cargo,12500,2019.0,142200,diesel,automático,85,coches.net,furgoneta
Ford,Transit Courier,17600,2023.0,37400,GASOLINA,Manual,75,coches.net,furgoneta
Maxus,EV80,14300,2017.0,293100,Electric,Automático,115,coches.net,furgoneta
Citroën,Berlingo,28800,2022.0,71500,Gasolina,M6,115,coches.net,furgoneta
Opel,Vivaro,22700,2024.0,,,DSG,180,coches.net,furgoneta
Nissan,NV400,18500,2020.0,,Diésel,Manual,145,coches.net,furgoneta
Mercedes-Benz,Sprinter,43900,2023.0,38300,Electrico,Manual,130,coches.net,furgoneta
Opel,Combo,38800,2022.0,81700,Electric,M6,105,coches.net,furgoneta
Citroën,Berlingo,26500,2021.0,97500 km,Gasoil,MANUAL,100,coches.net,furgoneta
Volkswagen,Transporter,29200,2024.0,26400,CNG,Manual,110,coches.net,furgoneta
Nissan,NV400,18500,2022.0,67400,DIESEL,M,140,coches.net,furgoneta
Peugeot,Expert,30700,2023.0,54700,Electrico,Manual,100,coches.net,furgoneta
Citroën,Jumper,8500,2016.0,308800,Diésel,Automático,165,coches.net,furgoneta
Volkswagen,Crafter,30500,2024.0,27600,diesel,automático,140,coches.net,furgoneta
Toyota,Proace City,17800,2023.0,45900,Diésel,Auto,100,coches.net,furgoneta
Fiat,Scudo,22600,2022.0,56600,Diésel,Manual,115,coches.net,furgoneta
Ford,Transit Courier,13800,2017.0,229900,gasolina,automático,100,coches.net,furgoneta
Fiat,Ducato,28800,2023.0,38800,Gasoil,Manual,125,coches.net,furgoneta
Ford,Transit Connect,21000,2022.0,68600,MHEV,MANUAL,75,coches.net,furgoneta
Ford,Transit Courier,23300,21.0,118100,GASOLINA,M6,80,coches.net,furgoneta
Ford,Transit,23100,2022.0,80600,Gasoil,manual,165,coches.net,furgoneta
Mercedes-Benz,Sprinter,29900,2023.0,60000,DIESEL,M6,102,coches.net,furgoneta
Iveco,Daily,16800,2022.0,92700,Gasoil,automático,102,coches.net,furgoneta
Renault,Kangoo,18600,2021.0,85900,DIESEL,,70,coches.net,furgoneta
Nissan,NV400,27800,2023.0,65600,DIESEL,M6,105,coches.net,furgoneta
Maxus,Deliver 9,13700,2016.0,250200,DIESEL,manual,150,coches.net,furgoneta
Volkswagen,Caddy,30300,2024.0,17300,Gasolina,M,114,coches.net,furgoneta
Renault,Trafic,20600,2021.0,83100 km,gasolina,Manual,95,coches.net,furgoneta
Toyota,Proace City,23100,2021.0,100800,gasoil,M,110,coches.net,furgoneta
Nissan,NV400,14800,2022.0,58400,Diésel,DSG,145,coches.net,furgoneta
Mercedes-Benz,Vito,17000,2021.0,91400,diesel,Manual,100,coches.net,furgoneta
Renault,Master,17500 €,2021.0,65700,gasoil,manual,180,coches.net,furgoneta
Mercedes-Benz,Sprinter,22200,2019.0,98600,DIESEL,MANUAL,,coches.net,furgoneta
Peugeot,Boxer,22800,2023.0,42400,gasoil,manual,165,coches.net,furgoneta
Mercedes-Benz,Vito,31500,2022.0,77600,Gasoil,Auto,90,coches.net,furgoneta
Citroën,Jumpy,22800,2018.0,,DIESEL,MANUAL,100,coches.net,furgoneta
Mercedes-Benz,Sprinter,28100,2021.0,99300,Diésel,Automática,90,coches.net,furgoneta
Iveco,Daily,19200,2018.0,102700,Eléctrico,manual,100,coches.net,furgoneta
Iveco,Daily,11900,2020.0,96000,DIESEL,M6,140CV,coches.net,furgoneta
Nissan,NV300,21300,2021.0,89300,Diesel,M6,115,coches.net,furgoneta
Volkswagen,Caddy,21100,2017.0,202300,DIESEL,,75,coches.net,furgoneta
Renault,Master,22500,2021.0,78700,Electric,M6,130,coches.net,furgoneta
Renault,Kangoo,29600,2023.0,36900,GLP/Gasolina,M,80,coches.net,furgoneta
Citroën,Berlingo,24200,2021.0,105500,DIESEL,AT,105,coches.net,furgoneta
Citroën,Berlingo,17700,2019.0,146000,Electrico,M,131,coches.net,furgoneta
Fiat,Scudo,30500,2022.0,59300,DIESEL,M6,150,coches.net,furgoneta
Citroën,Jumper,26200,2021.0,108300,gasoil,Manual,125,coches.net,furgoneta
Volkswagen,Caddy,33600,2021.0,91200,,DSG,107,coches.net,furgoneta
Mercedes-Benz,Sprinter,46300,2024.0,26000,Electrico,Manual,110,coches.net,furgoneta
Toyota,Proace,18100,2021.0,104700,Diesel,manual,120,coches.net,furgoneta
Iveco,Daily,24000,2023.0,42500,gasoil,AT,120,coches.net,furgoneta
Iveco,Daily,22700,2020.0,107700,diesel,M6,140,coches.net,furgoneta
Ford,Transit Connect,20000,2021.0,123800,gasolina,,120,coches.net,furgoneta
Iveco,Daily,17900,2015.0,380000,Eléctrico,MANUAL,75CV,coches.net,furgoneta
Renault,Master,11100,2018.0,232900,Electrico,,185,coches.net,furgoneta
Nissan,NV200,26800,2023.0,26600,,AT,115,coches.net,furgoneta
Opel,Vivaro,20600,2021.0,79600,DIESEL,manual,175,coches.net,furgoneta
Volkswagen,Caddy,24900,2024.0,29000,gasolina,,107,coches.net,furgoneta
Citroën,Jumpy,14500,2023.0,54900,,manual,,coches.net,furgoneta
Peugeot,Expert,16000,19.0,150200,Diesel,manual,100,coches.net,furgoneta
Renault,Trafic,15400,2019.0,120300,Diésel,M6,125,coches.net,furgoneta
Volkswagen,Crafter,25500,2023.0,37800,Gasolina,M6,140,coches.net,furgoneta
MAN,TGE,25600,2022.0,61500,Diésel,automático,140 CV,coches.net,furgoneta
Ford,Transit Connect,17300,2020.0,135700,diesel,M6,105,coches.net,furgoneta
Opel,Movano,"19800,00",2020.0,100000,diesel,MANUAL,145,coches.net,furgoneta
Peugeot,Expert,24700,2023.0,56700,DIESEL,manual,120,coches.net,furgoneta
Fiat,Scudo,17900,2024.0,23400,gasoil,Manual,125,coches.net,furgoneta
Citroën,Berlingo,36600,2023.0,40900,EV,Manual,141,coches.net,furgoneta
Citroën,Jumper,22300,2021.0,82100,gasoil,Manual,130,coches.net,furgoneta
Renault,Master,21700,2022.0,96000,DIESEL,automático,110,coches.net,furgoneta
Peugeot,Boxer,14200,2021.0,111300,DIESEL,MANUAL,125,coches.net,furgoneta
Citroën,Berlingo,17700,,,gasolina,manual,110,coches.net,furgoneta
Opel,Movano,12700,15.0,235800,Hybrid,M6,140,coches.net,furgoneta
Renault,Kangoo,27200,2020.0,98500km,Electric,M,90,coches.net,furgoneta
Volkswagen,Caddy,16700,2023.0,36900,gasolina,M6,109 CV,coches.net,furgoneta
Volkswagen,Crafter,35300,2024.0,23300,MHEV,M6,102,coches.net,furgoneta
Toyota,Proace,16800,2023.0,40600,DIESEL,M6,115,coches.net,furgoneta
Opel,Vivaro,19900,2024.0,19200,Gasolina,manual,180,coches.net,furgoneta
Peugeot,Boxer,26400,2017.0,128300km,Eléctrico,MANUAL,160,coches.net,furgoneta
Iveco,Daily,23700,2021.0,108700 km,Diésel,MANUAL,100,coches.net,furgoneta
Ford,Transit,21000,2020.0,169600,gasoil,manual,,coches.net,furgoneta
Iveco,Daily,32000,2024.0,30100,diesel,automático,90,coches.net,furgoneta
Fiat,Doblo Cargo,22700,2023.0,57800,DIESEL,M6,95,coches.net,furgoneta
Opel,Movano,44200,2023.0,47700,,,140,coches.net,furgoneta
Ford,Transit,31900,2024.0,17200,Gasolina,AT,170,coches.net,furgoneta
Citroën,Jumpy,9700,2018.0,190400,Diesel,Automático,100,coches.net,furgoneta
Nissan,NV200,32600,2023.0,56600,Gasoil,manual,85,coches.net,furgoneta
Mercedes-Benz,Citan,31000,2022.0,78800,Híbrido,Manual,100,coches.net,furgoneta
Renault,Master,11800,2017.0,197100,DIESEL,Manual,150,coches.net,furgoneta
Volkswagen,Crafter,21200,2019.0,108900,Diesel,M,177,coches.net,furgoneta
Mercedes-Benz,Citan,28200,2023.0,56300,DIESEL,DSG,130,coches.net,furgoneta
Opel,Vivaro,21800,2020.0,100400,MHEV,DSG,180,coches.net,furgoneta
Opel,Vivaro,20800,2019.0,166400,gasoil,Manual,175,coches.net,furgoneta
Nissan,NV400,18100,2019.0,180500,Diésel,Manual,115,coches.net,furgoneta
Mercedes-Benz,Sprinter,27900,2023.0,41100,Diésel,Auto,140,coches.net,furgoneta
Volkswagen,Crafter,30100,2022.0,59100,DIESEL,Auto,140,coches.net,furgoneta
Mercedes-Benz,Sprinter,34100,2024.0,26000,Diésel,M6,90,coches.net,furgoneta
Iveco,Daily,33600,2023.0,55000km,Diesel,manual,150,coches.net,furgoneta
Toyota,Proace,28300,2022.0,87200,Autogás,M,120,coches.net,furgoneta
MAN,TGE,24600,2018.0,145000,Diesel,manual,140,coches.net,furgoneta
MAN,TGE,16000,2016.0,307700,Diésel,M6,107,coches.net,furgoneta
Mercedes-Benz,Citan,,2022.0,53500,DIESEL,Auto,102,coches.net,furgoneta
Iveco,Daily,21500,2021.0,133000,diesel,Manual,100,coches.net,furgoneta
Citroën,Jumper,20400,2023.0,,gasoil,manual,155,coches.net,furgoneta
Ford,Transit,33300,2024.0,21300,,M6,105,coches.net,furgoneta
Toyota,Proace,17400,2023.0,53200 km,DIESEL,Manual,150,coches.net,furgoneta
Mercedes-Benz,Sprinter,20800,2020.0,97100 km,EV,M,140,coches.net,furgoneta
Renault,Master,23900,2022.0,76900,Hibrido,DSG,180,coches.net,furgoneta
Citroën,Jumpy,15500,2019.0,131200km,Electric,manual,115,coches.net,furgoneta
Iveco,Daily,31600 €,2023.0,38800,Diésel,Manual,130,coches.net,furgoneta
Volkswagen,Transporter,31100,2024.0,22500,,M,115,coches.net,furgoneta
Opel,Combo,32100,2022.0,98300,Electric,Manual,105,coches.net,furgoneta
Peugeot,Expert,,2019.0,154900,gasoil,manual,115,coches.net,furgoneta
Toyota,Proace,30700,2022.0,75200,Eléctrico,MANUAL,115,coches.net,furgoneta
Ford,Transit,26700,2023.0,61900,gasoil,manual,125,coches.net,furgoneta
Fiat,Doblo Cargo,24000 €,2023.0,49000,GASOLINA,Manual,90,coches.net,furgoneta
Toyota,Proace,33600,2022.0,54200,Diesel,manual,150,coches.net,furgoneta
Toyota,Proace City,30900,2024.0,20100,gasoil,automático,110,coches.net,furgoneta
Volkswagen,Caddy,26400,2019.0,180400,diesel,manual,75,coches.net,furgoneta
Iveco,Daily,22400,2020.0,120600,Eléctrico (BEV),Auto,,coches.net,furgoneta
Iveco,Daily,31800,2023.0,,,Auto,130,coches.net,furgoneta
Renault,Trafic,17300,2017.0,239700,Diésel,Auto,95,coches.net,furgoneta
Fiat,Ducato,7500,2015.0,271000,gasoil,M,117,coches.net,furgoneta
Mercedes-Benz,Citan,"26300,00",2021.0,98200,gasoil,MANUAL,140,coches.net,furgoneta
Citroën,Jumpy,20400,2022.0,43500,Diesel,MANUAL,100,coches.net,furgoneta
Fiat,Ducato,26000,2024.0,31200,Diesel,manual,122,coches.net,furgoneta
Ford,Transit,21800,2020.0,110400,diesel,Auto,155,coches.net,furgoneta
Ford,Transit Connect,19100,2020.0,63600,Diesel,M,120,coches.net,furgoneta
Mercedes-Benz,Citan,7500,2016.0,326000,DIESEL,M6,,coches.net,furgoneta
Ford,Transit,28900,2022.0,59800,diesel,M6,100,coches.net,furgoneta
Renault,Master,14800,2017.0,254300,gasolina,M,,coches.net,furgoneta
Iveco,Daily,21500,2015.0,182300,Eléctrico,M,130,coches.net,furgoneta
Ford,Transit Connect,19900,2021.0,94500,Diesel,Manual,125,coches.net,furgoneta
Hyundai,Staria,24300,2021.0,123800,gasoil,M6,177,coches.net,furgoneta
Mercedes-Benz,Vito,31100,2021.0,77200,Gasoil,manual,150,coches.net,furgoneta
Volkswagen,Crafter,34600,2024.0,14900,diesel,automático,102,coches.net,furgoneta
Mercedes-Benz,Citan,28800,2023.0,31600,diesel,M,110,coches.net,furgoneta
Opel,Movano,26300,2024.0,21100,diesel,DSG,105,coches.net,furgoneta
Mercedes-Benz,Sprinter,33400,2023.0,,diesel,manual,90,coches.net,furgoneta
MAN,TGE,31100,2024.0,23800,Diesel,manual,107 CV,coches.net,furgoneta
Nissan,NV300,20500,2020.0,141400,DIESEL,M,90,coches.net,furgoneta
Fiat,Scudo,13900,2020.0,123000,Gasoil,M,145,coches.net,furgoneta
Volkswagen,Transporter,13400,2015.0,257300,gasoil,manual,145,coches.net,furgoneta
Volkswagen,Caddy,22100,2024.0,25300,gasolina,Manual,114,coches.net,furgoneta
Volkswagen,Caddy,31400,2023.0,61600,GASOLINA,Manual,102,coches.net,furgoneta
Ford,Transit,22100,2020.0,156600,DIESEL,M6,130,coches.net,furgoneta
Ford,Transit,29400,2023.0,54800,Hibrido,M6,135,coches.net,furgoneta
Ford,Transit Connect,32400,2024.0,28900,Gasoil,manual,105,coches.net,furgoneta
Toyota,Proace,22300,2016.0,247200,EV,M,136 CV,coches.net,furgoneta
Volkswagen,Transporter,13200,2022.0,69600,Diésel,Manual,107,coches.net,furgoneta
Nissan,NV400,19100,2022.0,70200,MHEV,M6,140,coches.net,furgoneta
Ford,Transit,36100,2023.0,36600,Gasoil,M6,160,coches.net,furgoneta
Renault,Kangoo,26900,2022.0,82000,Eléctrico,Manual,90,coches.net,furgoneta
Mercedes-Benz,Citan,10100,2015.0,277800,Diesel,AT,90,coches.net,furgoneta
Maxus,EV80,27000,2019.0,140400,Eléctrico,MANUAL,120,coches.net,furgoneta
Volkswagen,Crafter,24400,2021.0,120800,Diésel,Manual,102,coches.net,furgoneta
Volkswagen,Transporter,29100,2023.0,41100,Híbrido,M6,204,coches.net,furgoneta
Peugeot,Boxer,32800,2022.0,58600,Electric,Auto,165,coches.net,furgoneta
Volkswagen,Caddy,34200,2024.0,23700,Gasoil,Auto,102,coches.net,furgoneta
Toyota,Proace,47400,2024.0,12700,EV,M,150CV,coches.net,furgoneta
Citroën,Berlingo,24700,2022.0,83600,DIESEL,Manual,100,coches.net,furgoneta
Fiat,Scudo,18500,2021.0,92800,diesel,M6,145,coches.net,furgoneta
Renault,Kangoo,20900,2020.0,137900,MHEV,M,75,coches.net,furgoneta
Mercedes-Benz,Citan,37400,2024.0,22000 km,Diesel,Manual,90,coches.net,furgoneta
Fiat,Scudo,9300,2015.0,249600,Diesel,MANUAL,125,coches.net,furgoneta
Ford,Transit,22300,2018.0,203500,Gasoil,Automático,135,coches.net,furgoneta
Hyundai,H350,23800,2020.0,162400,gasoil,M6,165,coches.net,furgoneta
Renault,Master,22500,2023.0,55000,gasoil,MANUAL,185,coches.net,furgoneta
Renault,Kangoo,14300,2019.0,175200,Diesel,MANUAL,70,coches.net,furgoneta
Hyundai,H350,30000,2024.0,26200,DIESEL,Auto,170,coches.net,furgoneta
Citroën,Jumper,15100,2021.0,91800,Diésel,Manual,165,coches.net,furgoneta
Renault,Master,17000,2019.0,146700,diesel,manual,135,coches.net,furgoneta
Mercedes-Benz,Citan,42600,2023.0,45000,Electrico,M,120,coches.net,furgoneta
Volkswagen,Transporter,20400,2021.0,113600,Diésel,Manual,115,coches.net,furgoneta
Opel,Combo,30100,2024.0,17300,gasoil,M,95,coches.net,furgoneta
Citroën,Jumpy,25000,2022.0,,gasolina,manual,120,coches.net,furgoneta
Peugeot,Partner,9700,2015.0,243800,Electric,manual,136,coches.net,furgoneta
Mercedes-Benz,Sprinter,15800,2018.0,120100,Eléctrico (BEV),Manual,150,coches.net,furgoneta
Volkswagen,Transporter,27400,2022.0,66500,,Manual,115,coches.net,furgoneta
Opel,Vivaro,15900,2022.0,69800,Gasoil,MANUAL,100,coches.net,furgoneta
Toyota,Proace City,28000,2020.0,180000,Diesel,DSG,110,coches.net,furgoneta
Renault,Master,12900,2020.0,126400,gasoil,MANUAL,135,coches.net,furgoneta
MAN,TGE,29700,2022.0,53400 km,Gas Natural,M6,140,coches.net,furgoneta
Volkswagen,Crafter,10500,2016.0,308200,GLP,manual,140,coches.net,furgoneta
Fiat,Ducato,19000,2022.0,98000,GASOLINA,Manual,,coches.net,furgoneta
Hyundai,H350,23600,2020.0,98800,Diesel,manual,131,coches.net,furgoneta
Ford,Transit Connect,14600,2020.0,104900,Gasoil,MANUAL,120,coches.net,furgoneta
Volkswagen,Crafter,24800,2021.0,123000,DIESEL,manual,145,coches.net,furgoneta
Maxus,Deliver 9,13800,2018.0,238000 km,gasoil,Manual,150,coches.net,furgoneta
Mercedes-Benz,Sprinter,19100,2020.0,133000,DIESEL,AT,140,coches.net,furgoneta
Iveco,Daily,19400,2020.0,135900,DIESEL,M,102,coches.net,furgoneta
Mercedes-Benz,Citan,29500,2021.0,135700,gasolina,Manual,150,coches.net,furgoneta
Renault,Trafic,15000,2020.0,102600,Gasoil,M6,90,coches.net,furgoneta
Iveco,Daily,14700,2019.0,173500,gasoil,M6,120,coches.net,furgoneta
Opel,Movano,13600,2019.0,146600,Diésel,M,110,coches.net,furgoneta
Fiat,Scudo,13200,2022.0,72500,DIESEL,M,150,coches.net,furgoneta
Citroën,Jumpy,21200,2022.0,74400,Hybrid,automático,150,coches.net,furgoneta
Maxus,EV80,13100,2017.0,290200,Eléctrico (BEV),M6,120,coches.net,furgoneta
Hyundai,H350,17200,2019.0,186500,GNC,MANUAL,136,coches.net,furgoneta
Mercedes-Benz,Sprinter,7500,2019.0,120300,diesel,M6,120 CV,coches.net,furgoneta
Ford,Transit,21000,2021.0,120000,gasoil,AT,170,coches.net,furgoneta
Hyundai,H350,"27800,00",2023.0,60000,diesel,M,170,coches.net,furgoneta
Nissan,NV400,17400,2020.0,111900,Electric,M,115,coches.net,furgoneta
Mercedes-Benz,Sprinter,26500,2018.0,84700,Diesel,AT,120,coches.net,furgoneta
Peugeot,Partner,26900,2024.0,21100,GASOLINA,Manual,105,coches.net,furgoneta
Citroën,Berlingo,25200,2021.0,110900,Hibrido,Automática,100,coches.net,furgoneta
Iveco,Daily,25000,2023.0,42700,diesel,manual,100,coches.net,furgoneta
Citroën,Berlingo,29500,2023.0,52900,Gasolina,automático,110,coches.net,furgoneta
Nissan,NV400,24500,24.0,20200,CNG,M,110CV,coches.net,furgoneta
Citroën,Berlingo,9900,2018.0,170300 km,Gasolina,DSG,115,coches.net,furgoneta
Citroën,Berlingo,21300,2022.0,61100,Hibrido,M6,100,coches.net,furgoneta
Mercedes-Benz,Citan,22400,2019.0,149800,Gasoil,MANUAL,110,coches.net,furgoneta
Fiat,Doblo Cargo,20500,21.0,101600,GLP,M,90 CV,coches.net,furgoneta
Mercedes-Benz,Vito,22000,2020.0,117600,Diésel,MANUAL,100,coches.net,furgoneta
Mercedes-Benz,Vito,25600,2021.0,130700,diesel,M6,110,coches.net,furgoneta
Maxus,Deliver 9,14000,2021.0,94000km,EV,DSG,150,coches.net,furgoneta
Opel,Vivaro,"22500,00",2022.0,85700,Hybrid,M6,105,coches.net,furgoneta
Peugeot,Boxer,11300,2020.0,130100,diesel,MANUAL,130,coches.net,furgoneta
Fiat,Ducato,23500,2022.0,70600,DIESEL,M,127,coches.net,furgoneta
MAN,TGE,35400,2024.0,18300,Híbrido,Automático,140,coches.net,furgoneta
Mercedes-Benz,Sprinter,33200,2021.0,110200 km,GASOLINA,automático,102,coches.net,furgoneta
Mercedes-Benz,Vito,"50800,00",2024.0,24600 km,Eléctrico,Auto,75,coches.net,furgoneta
Ford,Transit,28400,2022.0,58400,Diésel,MANUAL,175,coches.net,furgoneta
Volkswagen,Caddy,16800,2015.0,209400,EV,automático,75,coches.net,furgoneta
