marca,modelo,version,precio,año,kilometros,combustible,transmision,potencia,puertas,link
Nissan,NV300,2.0 dCi 120CV L1H1,15200,2020.0,180000,Diésel,,115,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv300/78987844-3959.htm
Fiat,Scudo,1.5 Multijet 120CV,21400,2018.0,154100,DIESEL,DSG,115,3.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/68355386-1390.htm
Fiat,Scudo,2.0 Multijet 145CV Furgon,19500,2020.0,139600,Gasoil,Automática,145,3.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/25520318-6369.htm
Renault,Trafic,,29900,2021.0,85300,gasoil,manual,155,5.0,https://www.coches.net/vehiculos-industriales/renault-trafic/46157787-4216.htm
Iveco,Daily,35S14 2.3 HPT L2H2,,2024.0,20600,Diésel,AT,100,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/20305086-1743.htm
Volkswagen,Transporter,2.0 TDI 110CV L1H1,15600,2022.0,58900,DIESEL,M6,110,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/72245135-6531.htm
Hyundai,Staria,2.2 CRDi 177CV Cargo,27300,2021.0,,Gasoil,manual,177,3.0,https://www.coches.net/vehiculos-industriales/hyundai-staria/29276805-5677.htm
Mercedes-Benz,Sprinter,316 CDI L3H2,35000,2021.0,92000,Electrico,M6,120,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/81542030-752.htm
Volkswagen,Crafter,2.0 TDI 177CV L2H2,28200,2022.0,48600,Diésel,M,182,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/81616358-5174.htm
Toyota,Proace City,1.2 Turbo 110CV,18900,2018.0,185100,Diesel,automático,110,3.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/21393263-5981.htm
Iveco,Daily,35S16 2.3 Furgon,27200,2022.0,67800,DIESEL,M,75,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/98320641-6675.htm
Volkswagen,Caddy,1.5 TSI 114CV,30900,2020.0,109900,Gasolina,M6,114,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/95276150-4846.htm
Fiat,Doblo Cargo,1.3 Multijet 90CV,25500,2023.0,36000,Gasoil,M,90,5.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/85601368-5969.htm
Peugeot,Partner,1.5 BlueHDi 100CV Premium,17400,2020.0,122500,Diésel,manual,100,5.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/49627869-5116.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,23200,2020.0,165600,Eléctrico (BEV),manual,125,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/64616541-779.htm
Hyundai,H350,2.5 CRDi 136CV L2H2,14300,2018.0,220500,diesel,Auto,141,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/50187519-4541.htm
Mercedes-Benz,Citan,110 CDI Tourer,30400,2024.0,25800,Gasolina,manual,140,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/56166610-4189.htm
Opel,Combo,1.5 Diesel 100CV Cargo L2,30900,2024.0,23500,Electrico,manual,95,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/14353056-1812.htm
Citroën,Berlingo,1.2 PureTech 110CV,24300,2024.0,16800,gasolina,M,110,3.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/21088743-5869.htm
Peugeot,Expert,2.0 BlueHDi 120CV L1,20400 €,2021.0,119200,diesel,MANUAL,,3.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/82741563-685.htm
Toyota,Proace City,1.5 D-4D 100CV,33500,2024.0,22900,diesel,AT,100,5.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/54004834-4126.htm
Iveco,Daily,50C17 3.0 Caja Abierta,31600,2024.0,17100,Diésel,Manual,130,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/51956263-4448.htm
Opel,Movano,2.3 CDTi 110CV L2H2,29800,2020.0,163200,Diesel,MANUAL,110,3.0,https://www.coches.net/vehiculos-industriales/opel-movano/58956225-6843.htm
Opel,Vivaro,1.5 Diesel 100CV,21900,2024.0,28000,DIESEL,M6,95,3.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/81140123-759.htm
Fiat,Scudo,2.0 Multijet 145CV Furgon,26700,2022.0,73200,Gasoil,Manual,145,3.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/51389885-3946.htm
Hyundai,H350,2.5 CRDi 136CV L2H2,,2021.0,67200km,DIESEL,M6,136,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/65034115-142.htm
Peugeot,Partner,Electric 136CV,29200,2022.0,70000,Eléctrico (BEV),manual,136,5.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/84151411-857.htm
Opel,Vivaro,2.0 Diesel 180CV Combi,13500,2019.0,105300,DIESEL,Manual,180,3.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/98645167-4456.htm
Volkswagen,Transporter,2.0 TDI 150CV Caravelle,15000,2017.0,193800,gasoil,MANUAL,150,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/91506831-1107.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,20200,,,gasoil,,120,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/30228565-2831.htm
Renault,Master,2.3 dCi 145CV L3H2 RWD,22000,2023.0,,diesel,M,150,5.0,https://www.coches.net/vehiculos-industriales/renault-master/16409704-401.htm
Volkswagen,Transporter,2.0 TDI 150CV Caravelle,"34500,00",2022.0,68700,gasoil,M6,155,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/72606225-4069.htm
Mercedes-Benz,Citan,108 CDI Furgon,34700,2021.0,94600,Diesel,automático,75,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/55850640-2914.htm
Opel,Vivaro,1.5 Diesel 100CV,18800,2023.0,51800,DIESEL,AT,105,5.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/15138090-5733.htm
Iveco,Daily,35C17 3.0 HPT L4H2,29200,2024.0,20300,Gasoil,MANUAL,150,5.0,https://www.coches.net/vehiculos-industriales/iveco-daily/18486699-6122.htm
Toyota,Proace,2.0 D-4D 120CV L1 Comfort,18600,2018.0,254800,Diésel,manual,,3.0,https://www.coches.net/vehiculos-industriales/toyota-proace/35275127-6218.htm
Volkswagen,Transporter,2.0 TDI 150CV Caravelle,29100,2020.0,136100,gasolina,M6,150,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/85544690-2469.htm
Mercedes-Benz,Sprinter,211 CDI Combi,27100,2019.0,136700,GASOLINA,M,102,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/24336334-331.htm
Hyundai,H350,2.5 CRDi 136CV L2H2,22300,2018.0,142500,GLP/Gasolina,Manual,136,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/23362689-3213.htm
Volkswagen,Caddy,1.5 TSI 114CV,19600,2017.0,203600km,Gasolina,manual,119,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/15538601-4426.htm
Volkswagen,Caddy,,19300,2019.0,185100,gasoil,MANUAL,102,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/34681540-3549.htm
Peugeot,Partner,1.2 PureTech 110CV,9300,2015.0,254100km,gasolina,Manual,105,3.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/61816850-5707.htm
Nissan,NV400,2.3 dCi 145CV L3H2 FWD,19500,2018.0,236600,gasoil,Manual,145,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/73735425-2623.htm
Opel,Combo,1.2 Turbo 110CV,29000,2022.0,84700,CNG,M6,110,3.0,https://www.coches.net/vehiculos-industriales/opel-combo/29860461-718.htm
Renault,Trafic,2.0 dCi 90CV Furgon,27300,2024.0,25100,gasoil,M,90,5.0,https://www.coches.net/vehiculos-industriales/renault-trafic/75581713-411.htm
Citroën,Jumpy,2.0 BlueHDi 120CV M,28200,2022.0,73700,Diésel,M,125,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/97444664-4101.htm
Volkswagen,Transporter,2.0 TDI 102CV Kombi,42800,2024.0,15300,Electrico,DSG,97,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/86887786-978.htm
Fiat,Doblo Cargo,1.6 Multijet 105CV,17400,2021.0,101700,Gasoil,MANUAL,105,5.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/29334982-1470.htm
Opel,Combo,1.5 Diesel 100CV Cargo L2,22200,2020.0,102500km,diesel,M6,100CV,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/83342143-6731.htm
Nissan,NV200,1.5 dCi 110CV,25600,2022.0,61300,diesel,M6,110,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv200/99934747-273.htm
Volkswagen,Caddy,1.5 TSI 114CV,18500,2017.0,292100,Gasolina,MANUAL,114,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/44489940-49.htm
Ford,Transit Courier,1.5 TDCi 75CV Trend,25300,2023.0,48200,gasolina,,75,3.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/10062027-2196.htm
Iveco,Daily,50C17 3.0 Caja Abierta,22400,2021.0,139800,gasoil,M,100,5.0,https://www.coches.net/vehiculos-industriales/iveco-daily/84999585-299.htm
Peugeot,Partner,Electric 136CV,30600,2021.0,97400,EV,MANUAL,136,5.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/49839709-1373.htm
Renault,Trafic,2.0 dCi 120CV L1H1,9200,2020.0,122200,DIESEL,manual,120,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/33558339-6356.htm
Hyundai,H350,2.5 CRDi 170CV Combi,27600,2022.0,76900,Diesel,MANUAL,175,5.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/59741426-2283.htm
Renault,Master,2.3 dCi 145CV L3H2 RWD,7500,2017.0,227300,Diésel,MANUAL,145,3.0,https://www.coches.net/vehiculos-industriales/renault-master/36957281-5854.htm
Fiat,Ducato,2.3 Multijet 130CV L2H2,27000,2023.0,55100,Diesel,Manual,130,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/35492790-3119.htm
Opel,Combo,,15700,2019.0,137500,Gasolina,Automático,110,3.0,https://www.coches.net/vehiculos-industriales/opel-combo/74192484-5995.htm
Nissan,NV400,2.3 dCi 145CV L3H2 FWD,19300,2022.0,96100,Electrico,MANUAL,140,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/77402824-1961.htm
Peugeot,Boxer,2.2 BlueHDi 140CV L3H3,16300,2022.0,70500,DIESEL,MANUAL,135,5.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/18276211-5939.htm
Ford,Transit Courier,1.0 EcoBoost 100CV Sport,23900,2023.0,52800,gasolina,M6,95,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/68792790-975.htm
Opel,Vivaro,2.0 CDTI 120CV L2H1,24100,2021.0,98600,DIESEL,Manual,125,5.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/44462133-2640.htm
Ford,Transit,2.0 EcoBlue 130CV Nugget,28800,2024.0,,Gasoil,manual,135,5.0,https://www.coches.net/vehiculos-industriales/ford-transit/16273918-5337.htm
Mercedes-Benz,Sprinter,211 CDI Combi,24400,2023.0,33600 km,GASOLINA,manual,140,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/73548749-2082.htm
MAN,TGE,3.5 2.0 TDI 140CV L3H3 AWD,28300,2021.0,,MHEV,MANUAL,140,5.0,https://www.coches.net/vehiculos-industriales/man-tge/69402218-4515.htm
Toyota,Proace,2.0 D-4D 150CV L2 Active,14100,2018.0,169400 km,MHEV,manual,150,5.0,https://www.coches.net/vehiculos-industriales/toyota-proace/53166435-107.htm
Mercedes-Benz,Vito,116 CDI Mixto,20700,2018.0,196200,Diésel,MANUAL,100,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/81970530-4893.htm
Ford,Transit Connect,1.5 EcoBlue 100CV Limited,18000,2019.0,140900,Diésel,M,105,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/90464278-3424.htm
Citroën,Jumpy,2.0 BlueHDi 120CV M,9600 €,2017.0,244500,diesel,Manual,120,5.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/85933165-2297.htm
Mercedes-Benz,Vito,114 CDI Tourer Pro,18300,2022.0,79800,Diesel,manual,102 CV,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/33416828-1964.htm
Hyundai,Staria,2.2 CRDi 177CV Cargo,10700,2017.0,167600,gasolina,MANUAL,182,3.0,https://www.coches.net/vehiculos-industriales/hyundai-staria/55130528-4517.htm
Fiat,Doblo Cargo,1.3 Multijet 90CV,12500,2019.0,142200,diesel,automático,85,3.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/15682970-4810.htm
Ford,Transit Courier,1.5 TDCi 75CV Trend,17600,2023.0,37400,GASOLINA,Manual,75,3.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/82995157-3740.htm
Maxus,EV80,Electric 120CV Furgon,14300,2017.0,293100,Electric,Automático,115,3.0,https://www.coches.net/vehiculos-industriales/maxus-ev80/94674464-404.htm
Citroën,Berlingo,1.2 PureTech 110CV,28800,2022.0,71500,Gasolina,M6,115,5.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/22350942-1237.htm
Opel,Vivaro,2.0 Diesel 180CV Combi,22700,2024.0,,,DSG,180,5.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/99266001-5028.htm
Nissan,NV400,2.3 dCi 145CV L3H2 FWD,18500,2020.0,,Diésel,Manual,145,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/12660810-5059.htm
Mercedes-Benz,Sprinter,,43900,2023.0,38300,Electrico,Manual,130,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/61791391-192.htm
Opel,Combo,1.5 Diesel 100CV Cargo L2,38800,2022.0,81700,Electric,M6,105,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/18364156-4106.htm
Citroën,Berlingo,1.5 BlueHDi 100CV Talla M,26500,2021.0,97500 km,Gasoil,MANUAL,100,5.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/92834681-2310.htm
Volkswagen,Transporter,2.0 TDI 110CV L1H1,29200,2024.0,26400,CNG,Manual,110,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/73976786-2189.htm
Nissan,NV400,2.3 dCi 145CV L3H2 FWD,18500,2022.0,67400,DIESEL,M,140,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/20043459-6812.htm
Peugeot,Expert,1.5 BlueHDi 100CV,30700,2023.0,54700,Electrico,Manual,100,3.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/95962095-4464.htm
Citroën,Jumper,2.2 BlueHDi 160CV Combi,8500,2016.0,308800,Diésel,Automático,165,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumper/58971640-1223.htm
Volkswagen,Crafter,2.0 TDI 140CV L4H3 Gran Volumen,30500,2024.0,27600,diesel,automático,140,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/24243671-1784.htm
Toyota,Proace City,1.5 D-4D 100CV,17800,2023.0,45900,Diésel,Auto,100,3.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/23684026-6854.htm
Fiat,Scudo,1.5 Multijet 120CV,22600,2022.0,56600,Diésel,Manual,115,5.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/91847506-1634.htm
Ford,Transit Courier,1.0 EcoBoost 100CV Sport,13800,2017.0,229900,gasolina,automático,100,3.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/56991504-58.htm
Fiat,Ducato,2.3 Multijet 130CV L2H2,28800,2023.0,38800,Gasoil,Manual,125,5.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/25994011-5706.htm
Ford,Transit Connect,1.5 TDCi 75CV Trend,21000,2022.0,68600,MHEV,MANUAL,75,3.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/76162965-3406.htm
Ford,Transit Courier,1.5 TDCi 75CV Trend,23300,21.0,118100,GASOLINA,M6,80,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/29022806-6239.htm
Ford,Transit,2.0 TDCi 170CV Custom Sport,23100,2022.0,80600,Gasoil,manual,165,5.0,https://www.coches.net/vehiculos-industriales/ford-transit/29004817-3826.htm
Mercedes-Benz,Sprinter,319 CDI 4x4,29900,2023.0,60000,DIESEL,M6,102,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/67409191-347.htm
Iveco,Daily,35S16 2.3 Furgon,16800,2022.0,92700,Gasoil,automático,102,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/88039043-5624.htm
Renault,Kangoo,1.5 dCi 75CV Express,18600,2021.0,85900,DIESEL,,70,3.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/42115754-3832.htm
Nissan,NV400,2.3 dCi 110CV L2H2,27800,2023.0,65600,DIESEL,M6,105,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/45267167-2749.htm
Maxus,Deliver 9,2.0 T 150CV L3H2,13700,2016.0,250200,DIESEL,manual,150,5.0,https://www.coches.net/vehiculos-industriales/maxus-deliver-9/15434535-1907.htm
Volkswagen,Caddy,1.5 TSI 114CV,30300,2024.0,17300,Gasolina,M,114,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/24613358-6009.htm
Renault,Trafic,2.0 dCi 90CV Furgon,20600,2021.0,83100 km,gasolina,Manual,95,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/70609724-3908.htm
Toyota,Proace City,1.2 Turbo 110CV,23100,2021.0,100800,gasoil,M,110,5.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/25598434-1204.htm
Nissan,NV400,2.3 dCi 145CV L3H2 FWD,14800,2022.0,58400,Diésel,DSG,145,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/30930226-2681.htm
Mercedes-Benz,Vito,116 CDI Mixto,17000,2021.0,91400,diesel,Manual,100,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/87994398-6755.htm
Renault,Master,2.3 dCi 180CV L4H3,17500 €,2021.0,65700,gasoil,manual,180,3.0,https://www.coches.net/vehiculos-industriales/renault-master/96256948-3094.htm
Mercedes-Benz,Sprinter,316 CDI L3H2,22200,2019.0,98600,DIESEL,MANUAL,,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/39231948-1175.htm
Peugeot,Boxer,2.0 BlueHDi 160CV L4H2,22800,2023.0,42400,gasoil,manual,165,3.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/42636940-2721.htm
Mercedes-Benz,Vito,114 CDI Tourer Pro,31500,2022.0,77600,Gasoil,Auto,90,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/71389561-184.htm
Citroën,Jumpy,1.5 BlueHDi 100CV,22800,2018.0,,DIESEL,MANUAL,100,5.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/74547771-6179.htm
Mercedes-Benz,Sprinter,319 CDI 4x4,28100,2021.0,99300,Diésel,Automática,90,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/22285393-6385.htm
Iveco,Daily,35C17 3.0 HPT L4H2,19200,2018.0,102700,Eléctrico,manual,100,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/28311409-329.htm
Iveco,Daily,35C17 3.0 HPT L4H2,11900,2020.0,96000,DIESEL,M6,140CV,5.0,https://www.coches.net/vehiculos-industriales/iveco-daily/74227366-75.htm
Nissan,NV300,2.0 dCi 120CV L1H1,21300,2021.0,89300,Diesel,M6,115,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv300/22560324-1208.htm
Volkswagen,Caddy,2.0 TDI 75CV,21100,2017.0,202300,DIESEL,,75,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/13088081-3154.htm
Renault,Master,,22500,2021.0,78700,Electric,M6,130,5.0,https://www.coches.net/vehiculos-industriales/renault-master/19127237-1631.htm
Renault,Kangoo,1.5 dCi 75CV Express,29600,2023.0,36900,GLP/Gasolina,M,80,3.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/81719930-3665.htm
Citroën,Berlingo,1.5 BlueHDi 100CV Talla M,24200,2021.0,105500,DIESEL,AT,105,5.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/35192753-5890.htm
Citroën,Berlingo,e-Berlingo Electric 136CV,17700,2019.0,146000,Electrico,M,131,5.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/69701754-3204.htm
Fiat,Scudo,2.0 Multijet 145CV Furgon,30500,2022.0,59300,DIESEL,M6,150,3.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/85247653-1843.htm
Citroën,Jumper,2.0 BlueHDi 130CV L3H2,26200,2021.0,108300,gasoil,Manual,125,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumper/42507962-3577.htm
Volkswagen,Caddy,2.0 TDI 102CV Maxi,33600,2021.0,91200,,DSG,107,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/39893558-2264.htm
Mercedes-Benz,Sprinter,,46300,2024.0,26000,Electrico,Manual,110,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/91259888-6516.htm
Toyota,Proace,2.0 D-4D 120CV L1 Comfort,18100,2021.0,104700,Diesel,manual,120,3.0,https://www.coches.net/vehiculos-industriales/toyota-proace/16258097-1310.htm
Iveco,Daily,35S14 2.3 HPT L2H2,24000,2023.0,42500,gasoil,AT,120,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/59788963-6463.htm
Iveco,Daily,50C17 3.0 Caja Abierta,22700,2020.0,107700,diesel,M6,140,5.0,https://www.coches.net/vehiculos-industriales/iveco-daily/77962685-5267.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,20000,2021.0,123800,gasolina,,120,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/20546779-6168.htm
Iveco,Daily,35S16 2.3 Furgon,17900,2015.0,380000,Eléctrico,MANUAL,75CV,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/99891413-6584.htm
Renault,Master,2.3 dCi 180CV L4H3,11100,2018.0,232900,Electrico,,185,3.0,https://www.coches.net/vehiculos-industriales/renault-master/32191838-568.htm
Nissan,NV200,1.5 dCi 110CV,26800,2023.0,26600,,AT,115,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv200/86866771-5023.htm
Opel,Vivaro,2.0 Diesel 180CV Combi,20600,2021.0,79600,DIESEL,manual,175,3.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/34494007-3022.htm
Volkswagen,Caddy,2.0 TDI 102CV Maxi,24900,2024.0,29000,gasolina,,107,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/74161906-6568.htm
Citroën,Jumpy,2.0 BlueHDi 120CV M,14500,2023.0,54900,,manual,,5.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/66830391-3363.htm
Peugeot,Expert,1.5 BlueHDi 100CV,16000,19.0,150200,Diesel,manual,100,5.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/87160597-2539.htm
